Recipient,Supplier,Designation,Description,Weapon Category,Order Year,Number Ordered,Delivery years
Pakistan,United States,Cessna-U206,light aircraft,Aircraft,2016,4,2017
Pakistan,Turkiye,ASELPOD,aircraft electro-optical system,Sensors,2016,8,2017
Pakistan,United States,Cessna-208 Caravan,light transport aircraft,Aircraft,2016,2,2016
Pakistan,Russia,Mi-17,transport helicopter,Aircraft,2015,2,2016
Pakistan,Germany,ATR-72MP -,anti-submarine aircraft,Aircraft,2015,2,2019
Pakistan,United States,MaxxPro,armoured personnel carrier,Armoured vehicles,2017,40,2017
Pakistan,Switzerland,GDF 35mm,anti-aircraft gun,Air-defence systems,2014,12,2017
Pakistan,China,Kashmir -,patrol ship,Ships,2015,2,2021
Pakistan,Italy,AW-139,helicopter,Aircraft,2016,5,2019
Pakistan,China,CH-4A,reconnaissance drone,Aircraft,2019,10,2022
Pakistan,Sweden,Saab-2000 AEW,airborne early-warning aircraft,Aircraft,2017,3,2024
Pakistan,Turkiye,ASELPOD,aircraft electro-optical system,Sensors,2017,16,2018
Pakistan,Netherlands,OPV-1900 -,patrol ship,Ships,2017,2,2020
Pakistan,United Kingdom,Sea King-3,transport helicopter,Aircraft,2016,1,2018
Pakistan,United Kingdom,Seaspray,maritime patrol aircraft radar,Sensors,2016,3,2022
Pakistan,United States,Island PC,patrol boat,Ships,2016,2,2017
Pakistan,Italy,AW-139,helicopter,Aircraft,2017,15,2018
Pakistan,United States,Cessna-208 Caravan,light transport aircraft,Aircraft,2014,1,2015
Pakistan,United States,Cessna-208 Caravan,light transport aircraft,Aircraft,2015,2,2016
Pakistan,United Kingdom,Commando AC,transport helicopter,Aircraft,2017,4,2018
Pakistan,China,Wing Loong-1,armed drone,Aircraft,2015,5,2015
Pakistan,Sweden,Saab-2000,transport aircraft,Aircraft,2016,4,2018
Pakistan,Jordan,M-113,armoured personnel carrier,Armoured vehicles,2015,73,2015
Pakistan,China,FN-6,portable surface-to-air missile,Missiles,2015,636,2016
Pakistan,Italy,M-109A1 155mm,self-propelled gun,Artillery,2015,162,2019
Pakistan,Italy,Puma 6x6,armoured personnel carrier,Armoured vehicles,2015,79,2018
Pakistan,China,JF-17 Thunder -,fighter/ground-attack aircraft,Aircraft,2017,12,2019
Pakistan,Egypt,Mirage-5,fighter/ground-attack aircraft,Aircraft,2019,18,2022
Pakistan,China,JY-27,air-search radar,Sensors,2018,1,2019
Pakistan,China,JF-17 Thunder -,fighter/ground-attack aircraft,Aircraft,2018,26,2020
Pakistan,China,YLC-18,air-search radar,Sensors,2018,5,2022
Pakistan,Germany,ATR-72MP -,anti-submarine aircraft,Aircraft,2020,1,2022
Pakistan,China,LY-80,surface-to-air missile,Missiles,2017,200,2023
Pakistan,China,E-190,transport aircraft,Aircraft,2020,1,2021
Pakistan,United States,ship engine 2501-4000,ship engine,Engines,2017,8,2020
Pakistan,United States,Cessna-208 Caravan,light transport aircraft,Aircraft,2019,2,2020
Pakistan,United Kingdom,ship engine 6001-8000,ship engine,Engines,2015,4,2021
Pakistan,China,FN-6,portable surface-to-air missile,Missiles,2017,295,2018
Pakistan,Ukraine,vehicle engine 601-800,vehicle engine,Engines,2017,79,2019
Pakistan,Qatar,Commando AC,transport helicopter,Aircraft,2021,4,2021
Pakistan,Netherlands,Tripartite,minehunter/minesweeper,Ships,2021,2,2022
Pakistan,China,CM-401,anti-ship missile,Missiles,2021,30,2023
Pakistan,China,HQ-9,surface-to-air missile,Missiles,2019,70,2021
Pakistan,Belgium,C-130H Hercules,transport aircraft,Aircraft,2021,7,2023
Pakistan,Netherlands,OPV-2600 -,patrol ship/frigate,Ships,2022,2,2024
Pakistan,Lithuania,A-319,transport aircraft,Aircraft,2022,1,2022
Pakistan,Turkiye,Bayraktar TB-2,armed drone,Aircraft,2021,9,2024
Pakistan,Turkiye,Akinci,armed drone,Aircraft,2022,3,2024
Pakistan,China,FN-6,portable surface-to-air missile,Missiles,2020,896,2021
Pakistan,China,Rizwan,signals intelligence ship,Ships,2021,1,2023
Pakistan,United States,Cessna-208 Caravan,light transport aircraft,Aircraft,2023,3,2024
Pakistan,China,YLC-8B,air-search radar,Sensors,2021,1,2023
