Recipient,Supplier,Designation,Description,Weapon Category,Order Year,Number Ordered,Delivery years
India,United States,C-130J Hercules,transport aircraft,Aircraft,2013,6,2017
India,Germany,Do-228,light transport aircraft,Aircraft,2015,14,2020
India,United States,MQ-9 UAV,reconnaissance drone,Aircraft,2020,2,2020
India,United Kingdom,Meteor MI,long-range air-to-air missile,Missiles,2017,200,2022
India,Russia,Igla-S,portable surface-to-air missile,Missiles,2020,216,2021
India,Russia,Kh-35,anti-ship missile,Missiles,2011,50,2012
India,Poland,Warmate,one-way attack drone,Missiles,2020,100,2022
India,Russia,T-90S,tank,Armoured vehicles,2013,236,2022
India,Israel,Barak-1,surface-to-air missile,Missiles,2018,131,2022
India,Russia,Konkurs,anti-tank missile,Missiles,2012,10000,2017
India,Israel,Heron-2,reconnaissance drone,Aircraft,2022,4,2023
India,United States,C-17,heavy transport aircraft,Aircraft,2011,10,2014
India,France,Storm Shadow,air-to-surface missile,Missiles,2017,200,2022
India,Israel,Popeye,air-to-surface missile,Missiles,2010,30,2014
India,United States,Harpoon Block-2,anti-ship/land-attack missile,Missiles,2010,20,2013
